serial no.,state,district,Murder with Rape/Gang Rape,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),"Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19)
Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52)
",Kidnapping & Abduction (Sec. 336 IPC),Kidnapping & Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec. 364A IPC),K&A of Women to compel her for marriage (Total) (Col.15+Col.16),Women (Above 18 yrs),Girls (Below 18 yrs),Procuration of Minor Girls (Sec. 366A IPC),"Kidnapping and Abduction of Women – Others (Secs.363A, 365, 367, 368, 369 IPC)",Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),"Rape (Col.24+Col.25) 

",Women (18 Yrs. And above),Girls (Below 18 yrs).1,"Attempt to Commit Rape (Col.27+Col.28)
",Women (18 Yrs. And above).1,Girls (Below 18 yrs).2,"Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31)
",Women (18 Yrs. And above).2,Girls (Below 18 yrs).3,"Insult to the Modesty of Women (Col.33+Col.34)
",Women (18 Yrs. And above).3,Girls (Below 18 yrs).4,"Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41)
","Procuring, inducing Children for the sake of prostitution (Section 5)",Detaining a person in premises where prostitution is carried on (Section 6),Prostitution in or in the vicinity of public places (Section 7),Seducing or soliciting for purpose of prostitution (Section 8),Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC),Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC),Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC),"Indecent Representation of Women (Prohibition) Act, 1986",total crimes,Latitude,Longitude,weighted_crimes,normalized_crimes,safety_score
826,West Bengal,Asansol-Durgapur PC,0,0,0,50,46,0,0,3,2,1,0,1,0,0,0,19,19,0,5,5,0,23,23,0,2,2,0,1,0,0,0,0,23,27,6,0,258,23.6975633,86.9411753,276,0.03960964408725603,96.0390355912744
827,West Bengal,Bankura,0,1,0,94,8,0,0,11,0,11,0,75,0,0,0,17,17,0,14,14,0,67,67,0,37,37,0,0,0,0,0,0,31,10,4,0,515,23.132377,87.20819251,57,0.008180252583237659,99.18197474167624
828,West Bengal,Barrackpur PC,0,3,0,201,50,1,8,3,1,2,3,136,3,0,0,17,17,0,12,12,0,622,622,0,34,34,0,0,0,0,0,0,26,32,4,0,1843,22.9664455,88.4004311,436,0.06257175660160735,93.74282433983927
829,West Bengal,Bidhannagar PC,0,0,2,60,52,0,0,5,0,5,0,3,0,0,0,13,13,0,4,4,0,72,72,0,3,3,0,1,0,0,0,0,18,16,7,0,353,22.590425,88.41692,328,0.04707233065442021,95.29276693455799
830,West Bengal,Birbhum,0,3,1,79,76,0,0,2,0,2,0,1,0,0,0,28,28,0,17,17,0,39,39,0,4,4,0,1,0,0,0,0,37,17,4,0,399,24.06215315,87.69828229,491,0.07046498277841562,92.95350172215844
831,West Bengal,Coochbehar,0,0,0,370,12,1,1,10,6,4,3,342,0,0,0,56,56,0,58,58,0,45,45,0,3,3,0,3,0,0,0,0,60,40,11,0,1187,26.340623,89.48121633,118,0.0169345579793341,98.30654420206659
832,West Bengal,Dakshin Dinajpur,0,0,0,193,80,0,0,0,0,0,0,113,0,0,0,21,21,0,16,16,0,20,20,0,2,2,0,0,0,0,0,0,26,4,4,0,538,25.38580695,88.5063362,480,0.06888633754305397,93.1113662456946
833,West Bengal,Darjeeling,0,0,0,81,81,0,0,0,0,0,0,0,2,0,0,8,8,0,4,4,0,81,81,0,4,4,0,0,0,0,0,0,32,13,0,0,403,27.0377554,88.263176,486,0.06974741676234214,93.02525832376578
834,West Bengal,Hooghly Rural Police,1,0,0,130,125,0,0,3,3,0,0,2,0,0,0,23,23,0,9,9,0,20,20,0,0,0,0,0,0,0,0,0,46,31,0,0,445,22.885137,87.9312859,760,0.10907003444316878,89.09299655568313
835,West Bengal,Howrah GRP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,7,22.5864889,88.3297796,0,0.0,100.0
836,West Bengal,Howrah PC,0,0,0,70,67,0,0,0,0,0,0,3,1,0,0,11,11,0,12,12,0,39,39,0,1,1,0,0,0,0,0,0,41,33,13,0,354,22.5736296,88.3251045,402,0.057692307692307696,94.23076923076923
837,West Bengal,Howrah Rural,0,1,0,159,152,0,0,1,1,0,0,6,2,0,0,12,12,0,12,12,0,14,13,1,0,0,0,0,0,0,0,0,49,21,10,0,478,22.5188412,87.9853903,921,0.1321756601607348,86.78243398392652
838,West Bengal,Jalpaiguri,0,0,0,147,53,0,0,1,1,0,0,93,1,0,0,28,28,0,21,21,0,23,23,0,0,0,0,0,0,0,0,0,81,13,6,0,540,26.62628045,88.73344852,318,0.04563719862227325,95.43628013777268
839,West Bengal,Jhargram,0,0,0,84,46,0,0,35,4,31,0,3,1,0,0,6,6,0,9,9,0,26,26,0,0,0,0,0,0,0,0,0,19,0,2,0,307,22.4538505,86.9949477,276,0.03960964408725603,96.0390355912744
840,West Bengal,Kharagpur GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22.3427152,87.3243592,0,0.0,100.0
841,West Bengal,Kolkata,0,2,1,304,278,0,0,11,4,7,15,0,2,0,0,11,11,0,0,0,0,241,241,0,250,250,0,8,0,0,0,0,113,50,22,0,1821,22.5726459,88.3638953,1829,0.26248564867967855,73.75143513203216
842,West Bengal,Malda,0,3,0,368,361,0,0,0,0,0,0,7,0,0,0,187,187,0,97,97,0,113,113,0,0,0,0,2,0,0,0,0,177,73,18,0,1803,25.0057449,88.1398483,2193,0.3147244546498278,68.52755453501722
843,West Bengal,Murshidabad Police District,1,5,0,434,424,0,1,6,4,2,0,3,0,0,0,108,108,0,98,98,0,89,89,0,2,2,0,0,0,0,0,0,105,39,27,1,1646,28.2516657,76.8144185,2615,0.3752870264064294,62.47129735935706
844,West Bengal,Paschim Medinipur,0,0,0,302,5,0,0,0,0,0,0,297,0,0,0,29,29,0,11,11,0,144,144,0,3,3,0,1,0,0,0,0,13,46,15,0,1053,22.36001185,87.41115051,30,0.004305396096440873,99.56946039035591
845,West Bengal,Purab Medinipur,1,2,0,655,345,1,3,271,52,219,1,34,2,0,0,45,45,0,32,32,0,51,51,0,4,4,0,2,0,0,0,0,59,10,7,0,1928,22.0640057,87.1487611,2144,0.3076923076923077,69.23076923076923
846,West Bengal,Purulia,0,0,1,30,29,0,0,1,1,0,0,0,0,0,0,10,10,0,7,7,0,34,34,0,0,0,0,0,0,0,0,0,32,4,3,0,203,23.2020967,86.32289877,182,0.026119402985074626,97.38805970149254
847,West Bengal,Sealdah GRP,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,36,22.5939553,88.344393,0,0.0,100.0
848,West Bengal,Siliguri GRP,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,14,26.7163516,88.4063186,18,0.0025832376578645237,99.74167623421354
849,West Bengal,Siliguri PC,0,0,0,208,207,0,0,0,0,0,1,0,0,0,0,11,11,0,13,13,0,83,83,0,19,19,0,10,0,0,0,0,42,11,14,0,745,26.7164127,88.4309916,1251,0.17953501722158438,82.04649827784156
850,West Bengal,Baruipur Police,0,1,0,414,377,0,0,3,1,2,0,34,7,1,0,68,68,0,42,42,0,33,33,0,2,2,0,0,0,0,0,0,116,40,11,0,1297,22.3640398,88.4290056,2280,0.32721010332950634,67.27898966704937
851,West Bengal,Chandannagar PC,0,1,0,40,35,0,0,1,0,1,0,4,0,0,0,9,9,0,7,7,0,20,20,0,0,0,0,0,0,0,0,0,24,16,4,0,198,22.8639237,88.3703496,219,0.03142939150401837,96.85706084959817
852,West Bengal,Diamond Harbour Police,0,0,0,96,78,0,1,12,2,10,0,5,0,0,0,15,15,0,1,1,0,38,38,0,0,0,0,1,0,0,0,0,33,19,8,0,373,22.1878691,88.189743,477,0.06845579793340988,93.15442020665901
853,West Bengal,Kalimpong,0,0,0,10,10,0,0,0,0,0,0,0,1,0,0,4,4,0,2,2,0,20,20,0,0,0,0,0,0,0,0,0,10,5,1,0,89,27.0702869,88.4723676,60,0.008610792192881746,99.13892078071183
854,West Bengal,Purba Bardhaman,0,3,0,351,308,0,0,21,2,19,0,22,0,0,0,31,31,0,45,45,0,134,134,0,6,6,0,2,0,0,0,0,63,41,6,0,1270,23.38840885,87.96067626,1875,0.26908725602755457,73.09127439724455
855,West Bengal,Sundarban Police,0,1,0,209,23,0,0,6,0,6,0,180,3,0,0,28,28,0,12,12,0,61,61,0,8,8,0,2,0,0,0,0,71,24,4,0,747,21.880011,88.1902977,147,0.021096440872560275,97.89035591274397
856,West Bengal,Barasat,0,1,0,146,123,1,0,18,7,11,0,4,1,0,0,29,29,0,21,21,0,52,52,0,8,8,0,0,0,0,0,0,50,22,12,0,616,22.7191072,88.4826229,757,0.10863949483352468,89.13605051664753
857,West Bengal,Basirhat,0,0,0,413,380,0,5,3,3,0,0,25,2,0,0,50,50,0,22,22,0,18,18,0,2,2,0,0,0,0,0,0,32,19,12,2,1080,22.6611962,88.8660215,2339,0.3356773823191734,66.43226176808265
858,West Bengal,Bangaon,0,1,0,121,109,1,0,1,1,0,1,9,0,0,0,35,35,0,18,18,0,80,80,0,4,4,0,0,0,0,0,0,25,4,6,0,553,23.0434655,88.8317765,682,0.0978760045924225,90.21239954075774
859,West Bengal,Islampur,0,0,0,68,23,0,0,0,0,0,0,45,0,0,0,22,22,0,12,12,0,8,7,1,0,0,0,2,0,0,0,0,24,2,0,0,248,25.09692465,85.26041639,138,0.019804822043628014,98.0195177956372
860,West Bengal,Jangipur Police District,0,0,0,92,39,0,0,0,0,0,0,53,0,0,0,10,10,0,13,13,0,14,14,0,1,1,0,1,0,0,0,0,28,6,3,0,298,25.0441995,83.1675519,234,0.033582089552238806,96.64179104477611
861,West Bengal,Krishnagar,0,2,2,172,6,0,0,39,14,25,2,125,0,0,0,72,72,0,84,84,0,41,41,0,0,0,0,0,0,0,0,0,25,16,3,0,825,23.5740272,89.7689548,88,0.012629161882893227,98.73708381171068
862,West Bengal,Raiganj,0,0,0,121,35,0,0,0,0,0,0,86,1,0,0,27,27,0,30,30,0,13,13,0,0,0,0,0,0,0,0,0,38,9,1,0,431,25.6271966,88.1317967,210,0.03013777267508611,96.98622273249138
863,West Bengal,Ranaghat,0,1,0,196,14,1,0,17,4,13,0,164,0,0,0,19,19,0,44,44,0,36,36,0,1,1,0,1,0,0,0,0,47,13,7,0,678,23.1738124,88.563677,103,0.014781859931113663,98.52181400688863
864,Andabar and Nicobar Islands,South Andaman,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,27,27,0,3,3,0,0,0,0,0,0,43,11,4,0,153,10.7056905,92.4874679,52,0.007462686567164179,99.25373134328358
865,Andabar and Nicobar Islands,North & Middle Andaman,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,1,1,0,0,0,0,0,0,12,7,0,0,31,12.61123865,92.83165406,6,0.0008610792192881745,99.91389207807119
866,Andabar and Nicobar Islands,Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,26,1,0,0,37,7.0,93.0,0,0.0,100.0
867,Chandigarh,Chandigarh,0,0,0,112,96,0,0,16,0,16,0,0,0,0,0,78,30,48,1,1,0,42,32,10,2,2,0,0,0,0,0,0,0,0,0,0,486,30.7334421,76.7797143,576,0.08266360505166476,91.73363949483353
868,D&N Haveli,D&N Haveli,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,8,8,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,37,7,1,0,80,51.3989228,7.1844717,20,0.0028702640642939152,99.71297359357061
869,Daman,Daman,0,0,0,33,32,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,6,2,1,0,86,20.4169701,72.833173,192,0.027554535017221583,97.24454649827784
870,Diu,Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20.71817495,70.93238341,0,0.0,100.0
